"state","county","malelifeexpect","femalelifeexpect","maleobesity","femaleobesity","malephysical","femalephysical","lifeexpectall","obesityall","physicalactivityall"
"Alabama","Autauga",73.3,78.8,37.1,38.8,52.9,47.5,76.05,37.95,50.2
"Alabama","Baldwin",75,80.3,33.5,33.9,54.1,49.6,77.65,33.7,51.85
"Alabama","Barbour",72.2,77.2,41.5,51.6,44.9,35.8,74.7,46.55,40.35
"Alabama","Bibb",71.5,76.8,40.7,45.2,42.7,37.4,74.15,42.95,40.05
"Alabama","Blount",73.1,78.6,38.4,41.6,43.1,37.6,75.85,40,40.35
"Alabama","Bullock",67.2,76.4,41.9,56,43,34.5,71.8,48.95,38.75
"Alabama","Butler",69.4,78.1,39.8,50.3,48,37.4,73.75,45.05,42.7
"Alabama","Calhoun",70.8,75.8,38,41.4,48.7,40.7,73.3,39.7,44.7
"Alabama","Chambers",70.1,76.4,40.7,47.7,46.9,34.7,73.25,44.2,40.8
"Alabama","Cherokee",72.2,77.1,39.5,41.7,44.8,40.8,74.65,40.6,42.8
"Alabama","Chilton",70.8,76.9,41.8,44.3,43.9,38.2,73.85,43.05,41.05
"Alabama","Choctaw",71.5,78.6,41.2,49.9,43.6,33.6,75.05,45.55,38.6
"Alabama","Clarke",72.3,77.4,41.8,46.6,48.5,37.4,74.85,44.2,42.95
"Alabama","Clay",71.7,76.6,39.2,45.4,44.1,39,74.15,42.3,41.55
"Alabama","Cleburne",71.7,76.6,37.4,41.3,46.4,41.7,74.15,39.35,44.05
"Alabama","Coffee",74.1,78.4,39.1,39.7,47.8,46.7,76.25,39.4,47.25
"Alabama","Colbert",70.4,77.8,40.2,41.6,51.2,42.1,74.1,40.9,46.65
"Alabama","Conecuh",69.4,78.1,40.6,49.5,44.5,33.5,73.75,45.05,39
"Alabama","Coosa",70.8,76.9,41.6,48.4,45.6,38.4,73.85,45,42
"Alabama","Covington",72.2,77.5,40.9,40.3,46,40.3,74.85,40.6,43.15
"Alabama","Crenshaw",70.2,76.4,40.6,44.8,47.7,43.8,73.3,42.7,45.75
"Alabama","Cullman",72.3,77.7,37.4,40.5,44.7,41.8,75,38.95,43.25
"Alabama","Dale",73.4,78,39.1,44.1,55,44.2,75.7,41.6,49.6
"Alabama","Dallas",68.6,75.4,40,56.2,44.2,35.5,72,48.1,39.85
"Alabama","DeKalb",72.1,77.3,38.9,40.9,41.9,40.6,74.7,39.9,41.25
"Alabama","Elmore",72.9,78.4,36.9,39.3,54.9,44.6,75.65,38.1,49.75
"Alabama","Escambia",71,77.7,41.6,44.1,47.9,37.6,74.35,42.85,42.75
"Alabama","Etowah",70.3,75.3,38.1,39.6,48.7,40.9,72.8,38.85,44.8
"Alabama","Fayette",70.4,75.8,42.4,43.9,44.6,37.6,73.1,43.15,41.1
"Alabama","Franklin",70.7,74.9,38.4,39.1,45.4,38.9,72.8,38.75,42.15
"Alabama","Geneva",72.2,78.1,41.4,43.2,44.6,44.8,75.15,42.3,44.7
"Alabama","Greene",70,77.9,43.8,58,42.8,32.6,73.95,50.9,37.7
"Alabama","Hale",68.1,76.8,43.5,55.5,41.2,33.4,72.45,49.5,37.3
"Alabama","Henry",71.9,78.5,40.8,47.4,50.3,42.8,75.2,44.1,46.55
"Alabama","Houston",73.3,79.1,39.5,41.2,47.8,44.8,76.2,40.35,46.3
"Alabama","Jackson",70.7,76.3,37.8,39.8,43.7,39.7,73.5,38.8,41.7
"Alabama","Jefferson",72,77.5,33.5,43.8,49.8,41.9,74.75,38.65,45.85
"Alabama","Lamar",71.8,77.2,40.3,38.3,46.4,38,74.5,39.3,42.2
"Alabama","Lauderdale",72.8,78.8,34.9,38.8,47.1,42.7,75.8,36.85,44.9
"Alabama","Lawrence",70.4,77.5,40.6,46.1,45.4,41.1,73.95,43.35,43.25
"Alabama","Lee",76.3,78.7,36.3,39.5,57.9,49.3,77.5,37.9,53.6
"Alabama","Limestone",74.6,79.5,39.1,40.9,50.4,41.5,77.05,40,45.95
"Alabama","Lowndes",70.2,76.4,41.6,55.3,44.7,37.3,73.3,48.45,41
"Alabama","Macon",67.2,76.4,39.9,53.9,48,38.6,71.8,46.9,43.3
"Alabama","Madison",75.1,79.5,34,38,54.3,46.1,77.3,36,50.2
"Alabama","Marengo",70.1,77.1,41.9,50.6,52.4,36.7,73.6,46.25,44.55
"Alabama","Marion",70.3,76.4,38.9,39.1,37.9,34.9,73.35,39,36.4
"Alabama","Marshall",71.5,76.6,37.2,38.7,41.8,41.2,74.05,37.95,41.5
"Alabama","Mobile",71.7,77.8,38.1,42.1,52.5,39,74.75,40.1,45.75
"Alabama","Monroe",70.8,77.7,39,49.7,49.3,37.7,74.25,44.35,43.5
"Alabama","Montgomery",73.3,78,36.6,45.1,50.7,44.3,75.65,40.85,47.5
"Alabama","Morgan",72.9,77.9,38.3,40.4,51.3,44.5,75.4,39.35,47.9
"Alabama","Perry",68.1,76.8,42.7,57.4,41.6,32.2,72.45,50.05,36.9
"Alabama","Pickens",71.6,76.4,41.8,48.3,46.3,37.5,74,45.05,41.9
"Alabama","Pike",71.5,77.3,39,46.5,50,42.3,74.4,42.75,46.15
"Alabama","Randolph",70.7,77.5,40.2,44,41.3,39.5,74.1,42.1,40.4
"Alabama","Russell",68.8,76.1,41.3,48.3,49.5,40,72.45,44.8,44.75
"Alabama","Shelby",77.3,81,37.2,32.4,52.9,49.7,79.15,34.8,51.3
"Alabama","St. Clair",72.3,78.5,37.7,42.9,47.5,39.4,75.4,40.3,43.45
"Alabama","Sumter",70,77.9,41.1,54.8,44.2,34.2,73.95,47.95,39.2
"Alabama","Talladega",70.5,76.1,40,48.7,46.1,39.6,73.3,44.35,42.85
"Alabama","Tallapoosa",72.6,78.5,37.5,45.2,47.1,41.6,75.55,41.35,44.35
"Alabama","Tuscaloosa",72.4,77.9,37.2,43,53.3,40.5,75.15,40.1,46.9
"Alabama","Walker",68.2,75,39,42.5,42.9,35.2,71.6,40.75,39.05
"Alabama","Washington",71.5,77.8,40.6,46.2,48.9,43.1,74.65,43.4,46
"Alabama","Wilcox",70.1,77.1,41.9,57.8,43.7,32.8,73.6,49.85,38.25
"Alabama","Winston",70.2,76.8,38.5,41.9,41.4,38.7,73.5,40.2,40.05
"Alaska","Aleutians East",75.8,80.1,29.7,37.8,60.3,58.8,77.95,33.75,59.55
"Alaska","Aleutians West",75.8,80.1,30.7,36.2,54.8,54.7,77.95,33.45,54.75
"Alaska","Anchorage",75.8,80.1,31.8,36.7,61.3,58.2,77.95,34.25,59.75
"Alaska","Bethel",75.8,80.1,36.1,51.2,52.3,43.2,77.95,43.65,47.75
"Alaska","Bristol Bay",75.8,80.1,36.9,41.9,59.9,55.8,77.95,39.4,57.85
"Alaska","Dillingham",75.8,80.1,36,48.9,55.5,45.3,77.95,42.45,50.4
"Alaska","Fairbanks North Star",75.8,80.1,35.4,33.3,62.4,59.4,77.95,34.35,60.9
"Alaska","Haines",75.8,80.1,35.6,38.3,63.1,58.3,77.95,36.95,60.7
"Alaska","Hoonah-Angoon",75.8,80.1,38.8,41.7,61.1,56.4,77.95,40.25,58.75
"Alaska","Juneau City and",75.8,80.1,32.8,36.6,59.3,59,77.95,34.7,59.15
"Alaska","Kenai Peninsula",75.8,80.1,35.5,39.3,57.3,56.6,77.95,37.4,56.95
"Alaska","Ketchikan Gateway",75.8,80.1,37.1,39,60.2,57.8,77.95,38.05,59
"Alaska","Kodiak Island",75.8,80.1,32.9,35.8,60.7,62,77.95,34.35,61.35
"Alaska","Lake and Peninsula",75.8,80.1,40.2,52,54.1,49,77.95,46.1,51.55
"Alaska","Matanuska-Susitna",75.8,80.1,34.7,37.8,58.5,60.7,77.95,36.25,59.6
"Alaska","Nome",75.8,80.1,33.3,46.3,51.4,48.4,77.95,39.8,49.9
"Alaska","North Slope",75.8,80.1,37.4,43.8,54.2,48.5,77.95,40.6,51.35
"Alaska","Northwest Arctic",75.8,80.1,37.2,51.2,49.7,42.7,77.95,44.2,46.2
"Alaska","Petersburg",75.8,80.1,37.1,39,60.2,57.8,77.95,38.05,59
"Alaska","Prince of Wales-Hyder",75.8,80.1,37.1,39,60.2,57.8,77.95,38.05,59
"Alaska","Sitka City and",75.8,80.1,35.2,32.5,60,58.4,77.95,33.85,59.2
"Alaska","Skagway",75.8,80.1,38.8,41.7,61.1,56.4,77.95,40.25,58.75
"Alaska","Southeast Fairbanks",75.8,80.1,36.8,37.1,60.9,59,77.95,36.95,59.95
"Alaska","Valdez-Cordova",75.8,80.1,35.1,38.4,63.7,57.1,77.95,36.75,60.4
"Alaska","Wade Hampton",75.8,80.1,38.3,55.5,46.8,38.5,77.95,46.9,42.65
"Alaska","Wrangell City and",75.8,80.1,37.1,39,60.2,57.8,77.95,38.05,59
"Alaska","Yakutat City and",75.8,80.1,36.8,39.9,65.3,57,77.95,38.35,61.15
"Alaska","Yukon-Koyukuk",75.8,80.1,39,41.9,55.8,51.4,77.95,40.45,53.6
"Arizona","Apache",68.5,77.5,36.4,49.4,59.3,48.7,73,42.9,54
"Arizona","Cochise",75.4,80.5,31,36.1,59.4,55.7,77.95,33.55,57.55
"Arizona","Coconino",75.7,81.8,26.7,32.9,64.8,60.3,78.75,29.8,62.55
"Arizona","Gila",72.2,79.7,35.6,38.1,55.7,58.4,75.95,36.85,57.05
"Arizona","Graham",74.2,79.3,38.6,42.6,57,55.2,76.75,40.6,56.1
"Arizona","Greenlee",74.2,79.3,36,39.2,62.2,58.7,76.75,37.6,60.45
"Arizona","La Paz",77.6,82.2,41.2,41.5,52.2,48.3,79.9,41.35,50.25
"Arizona","Maricopa",77.6,82.2,31.6,32.6,59.3,57.9,79.9,32.1,58.6
"Arizona","Mohave",72.7,78.7,35.2,33.6,54.2,49.8,75.7,34.4,52
"Arizona","Navajo",72.1,78.5,35.4,42.6,64.3,57.9,75.3,39,61.1
"Arizona","Pima",76.5,81.3,31.4,33.4,63.1,56.8,78.9,32.4,59.95
"Arizona","Pinal",78.1,82.4,39.6,40.3,55.6,55.4,80.25,39.95,55.5
"Arizona","Santa Cruz",76.4,82.3,32.3,37,57.4,47.5,79.35,34.65,52.45
"Arizona","Yavapai",75.7,81.6,29.7,29.2,63.2,58.8,78.65,29.45,61
"Arizona","Yuma",77.6,82.2,39,41.4,48.9,48.9,79.9,40.2,48.9
"Arkansas","Arkansas",71.9,77.5,40,44.9,48.1,39.2,74.7,42.45,43.65
"Arkansas","Ashley",72.1,77.7,38.8,45.5,52.8,41.2,74.9,42.15,47
"Arkansas","Baxter",73.3,79.7,34.7,34,57.4,50,76.5,34.35,53.7
"Arkansas","Benton",76.7,81.1,35.8,34,57.2,51.4,78.9,34.9,54.3
"Arkansas","Boone",74.3,79.3,34.5,33.2,52.8,50.7,76.8,33.85,51.75
"Arkansas","Bradley",72.7,77.2,38.9,46.7,48,38.4,74.95,42.8,43.2
"Arkansas","Calhoun",71.7,77.5,39.3,44.7,50.1,42.3,74.6,42,46.2
"Arkansas","Carroll",74.7,79.7,36,33.6,51.8,48.8,77.2,34.8,50.3
"Arkansas","Chicot",69.8,76.4,41.8,52.4,44.2,35.1,73.1,47.1,39.65
"Arkansas","Clark",72,79,38.8,40,50.8,46.2,75.5,39.4,48.5
"Arkansas","Clay",72.1,77.7,42,42.4,44.2,40.1,74.9,42.2,42.15
"Arkansas","Cleburne",74.2,80.4,37.6,36.2,51,49.8,77.3,36.9,50.4
"Arkansas","Cleveland",72.7,77.2,38.4,40.6,53.9,47.5,74.95,39.5,50.7
"Arkansas","Columbia",71.1,78.6,39,43.5,55.6,43.4,74.85,41.25,49.5
"Arkansas","Conway",72.5,78.5,38.9,39.8,50,49.7,75.5,39.35,49.85
"Arkansas","Craighead",72.7,78.6,37.4,37.6,49.6,45.1,75.65,37.5,47.35
"Arkansas","Crawford",72.1,78.4,37.4,38.5,49.2,46.1,75.25,37.95,47.65
"Arkansas","Crittenden",68.1,75.4,38.2,50.2,48.3,37.3,71.75,44.2,42.8
"Arkansas","Cross",71.6,78.2,40.2,44.6,50.9,39.2,74.9,42.4,45.05
"Arkansas","Dallas",71.7,77.5,40.6,47.1,48.8,38.6,74.6,43.85,43.7
"Arkansas","Desha",69.8,76.4,40.2,48.6,48.5,37.1,73.1,44.4,42.8
"Arkansas","Drew",72.9,78,37.8,43,54.9,44.9,75.45,40.4,49.9
"Arkansas","Faulkner",74.4,79.7,37.3,34.2,54.3,49.9,77.05,35.75,52.1
"Arkansas","Franklin",72.9,79.1,35.7,36.9,50.4,48.8,76,36.3,49.6
"Arkansas","Fulton",72.7,78.3,38.4,36.8,50.1,48,75.5,37.6,49.05
"Arkansas","Garland",72.2,78.5,35.4,35.3,56.9,47.7,75.35,35.35,52.3
"Arkansas","Grant",73.6,78.9,38.3,40.1,52.7,42.4,76.25,39.2,47.55
"Arkansas","Greene",72.6,77.2,41.5,38.5,47.6,42.5,74.9,40,45.05
"Arkansas","Hempstead",72.1,77.7,41.8,43.7,50.2,44.1,74.9,42.75,47.15
"Arkansas","Hot Spring",71.8,78.7,38.5,40.8,49.8,40.1,75.25,39.65,44.95
"Arkansas","Howard",71.4,76.5,41.5,43.7,47.5,44.6,73.95,42.6,46.05
"Arkansas","Independence",72.6,78,36.9,37.2,50.3,45.1,75.3,37.05,47.7
"Arkansas","Izard",72.7,78.3,37.8,35,49.5,46.8,75.5,36.4,48.15
"Arkansas","Jackson",71.6,75.7,41.7,45.6,45.4,35.2,73.65,43.65,40.3
"Arkansas","Jefferson",71.6,77.1,39,49.4,48.8,39,74.35,44.2,43.9
"Arkansas","Johnson",73.3,77.7,39.6,39.4,47.9,44.3,75.5,39.5,46.1
"Arkansas","Lafayette",70.3,77,42.6,45.8,47.4,42,73.65,44.2,44.7
"Arkansas","Lawrence",72,77.2,43.2,40.4,44.1,40.5,74.6,41.8,42.3
"Arkansas","Lee",69.4,76.5,42.4,56.1,43.5,33.1,72.95,49.25,38.3
"Arkansas","Lincoln",72.9,78,42.7,47.1,43.8,36.7,75.45,44.9,40.25
"Arkansas","Little River",71.4,76.5,40.9,41.6,48.2,43.7,73.95,41.25,45.95
"Arkansas","Logan",71.2,77.8,38,38.3,45.8,44.2,74.5,38.15,45
"Arkansas","Lonoke",73.1,78.7,40,37.8,51.3,43.5,75.9,38.9,47.4
"Arkansas","Madison",72.8,79.1,38.1,38.9,51.1,46.5,75.95,38.5,48.8
"Arkansas","Marion",73.5,79.1,38.5,36.6,53.6,54.5,76.3,37.55,54.05
"Arkansas","Miller",71.9,77.3,40.3,44,46.9,45.2,74.6,42.15,46.05
"Arkansas","Mississippi",68,73.9,41.2,48.3,42.8,36.8,70.95,44.75,39.8
"Arkansas","Monroe",69.4,76.5,41.7,51.5,43.9,36.1,72.95,46.6,40
"Arkansas","Montgomery",72.9,78.4,38.8,37.8,49.3,47.8,75.65,38.3,48.55
"Arkansas","Nevada",70.3,77,42.9,44.3,47.1,41.1,73.65,43.6,44.1
"Arkansas","Newton",74.5,79.5,38.1,38.4,49.7,49.3,77,38.25,49.5
"Arkansas","Ouachita",70.5,76.2,39.8,47.5,47.3,43.2,73.35,43.65,45.25
"Arkansas","Perry",72.5,78.5,39,37.1,51.6,45.8,75.5,38.05,48.7
"Arkansas","Phillips",67.4,74.4,40.3,53.8,47.1,31.4,70.9,47.05,39.25
"Arkansas","Pike",72.7,78.6,40.6,37.3,48.6,46.7,75.65,38.95,47.65
"Arkansas","Poinsett",68.3,75,42.4,46.1,41.4,36.3,71.65,44.25,38.85
"Arkansas","Polk",72.7,78.6,38.5,39.4,50.1,45.6,75.65,38.95,47.85
"Arkansas","Pope",74.1,79,37.1,38.3,50.3,49.8,76.55,37.7,50.05
"Arkansas","Prairie",71,77.6,40.7,43.6,45.6,39.5,74.3,42.15,42.55
"Arkansas","Pulaski",73.3,78.7,34.3,37.9,53.3,44.7,76,36.1,49
"Arkansas","Randolph",72.9,78.5,41.9,37,49.6,46.7,75.7,39.45,48.15
"Arkansas","Saline",75.2,80.4,35,38.5,58.9,45.9,77.8,36.75,52.4
"Arkansas","Scott",72.9,78.4,37.4,39.3,47.1,43.9,75.65,38.35,45.5
"Arkansas","Searcy",74.5,79.5,38.7,42.3,44.7,45.7,77,40.5,45.2
"Arkansas","Sebastian",73.1,78.8,33.2,34.4,50,46.8,75.95,33.8,48.4
"Arkansas","Sevier",72.1,77.3,40.7,46.3,44.4,39.4,74.7,43.5,41.9
"Arkansas","Sharp",73.2,78.9,40,34.9,51.4,51.5,76.05,37.45,51.45
"Arkansas","St. Francis",70.8,76,40.8,52.1,46.1,38.5,73.4,46.45,42.3
"Arkansas","Stone",74.1,79.6,36.9,38.4,50.3,48,76.85,37.65,49.15
"Arkansas","Union",69.8,76,35.6,44,55.7,41,72.9,39.8,48.35
"Arkansas","Van Buren",74.1,79.6,36.5,39.3,53,51.8,76.85,37.9,52.4
"Arkansas","Washington",75.4,80.3,34.3,35,51.8,50.4,77.85,34.65,51.1
"Arkansas","White",73.4,78.6,37.9,39.6,49.8,44.9,76,38.75,47.35
"Arkansas","Woodruff",71,77.6,42.1,49.1,44.3,36.6,74.3,45.6,40.45
"Arkansas","Yell",72.5,79,40,40.4,43.1,45.9,75.75,40.2,44.5
"California","Alameda",79.2,83.1,24.1,30.6,64.2,63.6,81.15,27.35,63.9
"California","Alpine",78.1,81.3,32.1,34,62.3,61.1,79.7,33.05,61.7
"California","Amador",77.2,80,34,35.1,59.4,55.3,78.6,34.55,57.35
"California","Butte",75.2,79.1,31.6,34.3,62,59,77.15,32.95,60.5
"California","Calaveras",77.3,81.6,34.4,34.8,61.5,62.7,79.45,34.6,62.1
"California","Colusa",78.1,80.3,37.3,39.7,51.7,51.8,79.2,38.5,51.75
"California","Contra Costa",79,82.9,31.8,30.8,67.7,65.3,80.95,31.3,66.5
"California","Del Norte",74.1,77.7,37,40.2,57.1,56.9,75.9,38.6,57
"California","El Dorado",78.8,82.7,27,27.5,64.7,62.7,80.75,27.25,63.7
"California","Fresno",76.2,80.9,38.3,41.9,54.4,54.9,78.55,40.1,54.65
"California","Glenn",75.1,79.9,35.8,38.8,55.6,53.4,77.5,37.3,54.5
"California","Humboldt",74.5,79.2,31.8,34.8,65.2,62.7,76.85,33.3,63.95
"California","Imperial",77.2,82.9,37,42.9,46.1,45.2,80.05,39.95,45.65
"California","Inyo",76,81.2,34.5,34.8,57.7,57.6,78.6,34.65,57.65
"California","Kern",75.3,79.5,37.1,41,53.8,52.7,77.4,39.05,53.25
"California","Kings",77.6,79.5,37.4,41.6,49.6,53.6,78.55,39.5,51.6
"California","Lake",73.3,78,33.3,37.5,60.8,58.8,75.65,35.4,59.8
"California","Lassen",75.3,78.8,34.7,35.3,59.5,55.8,77.05,35,57.65
"California","Los Angeles",78.4,83,27.1,33.7,59.5,55.5,80.7,30.4,57.5
"California","Madera",76.1,81.2,39.2,42.3,53.3,52.1,78.65,40.75,52.7
"California","Marin",81.4,85,22.9,21.1,70.1,74.2,83.2,22,72.15
"California","Mariposa",77.4,80.6,36.3,35.4,59.4,62,79,35.85,60.7
"California","Mendocino",75.4,79.5,31.3,33.4,62.9,60.4,77.45,32.35,61.65
"California","Merced",76.7,80.4,41.8,45.4,53.1,50.6,78.55,43.6,51.85
"California","Modoc",75.3,78.8,34.6,36.1,58.1,57.3,77.05,35.35,57.7
"California","Mono",78.1,81.3,33.9,31.7,61.8,60.9,79.7,32.8,61.35
"California","Monterey",79.2,83.3,33.9,34.4,60.1,56.4,81.25,34.15,58.25
"California","Napa",78.1,82.5,31.5,32.9,63.4,63.2,80.3,32.2,63.3
"California","Nevada",79.3,83.2,28,27.3,71.9,65.2,81.25,27.65,68.55
"California","Orange",80.1,83.8,27,27.7,63.4,61.9,81.95,27.35,62.65
"California","Placer",78.9,83.2,28,26,68.9,65,81.05,27,66.95
"California","Plumas",76.7,80,32.2,32.5,63.7,64.2,78.35,32.35,63.95
"California","Riverside",77.7,82,35.2,36,58.1,58.1,79.85,35.6,58.1
"California","Sacramento",76.7,81,32.2,36.7,64.4,57.8,78.85,34.45,61.1
"California","San Benito",78.5,82.2,36.2,38.2,61.4,58.2,80.35,37.2,59.8
"California","San Bernardino",76.1,80.4,33.6,38.8,58.3,55.3,78.25,36.2,56.8
"California","San Diego",78.9,82.9,29.6,30.6,65.3,62.5,80.9,30.1,63.9
"California","San Francisco",78.8,84.4,18.3,20.9,65.8,64.6,81.6,19.6,65.2
"California","San Joaquin",75.8,80.5,35.5,40.2,55.3,57.1,78.15,37.85,56.2
"California","San Luis Obispo",78.9,82.4,29.9,29.3,65.1,66.3,80.65,29.6,65.7
"California","San Mateo",80.3,84.3,22.8,25.5,67.6,64.6,82.3,24.15,66.1
"California","Santa Barbara",78.7,83.6,30.1,29.8,61.9,61,81.15,29.95,61.45
"California","Santa Clara",81,84.5,23.9,28,63.6,64.6,82.75,25.95,64.1
"California","Santa Cruz",78.8,83,28.8,29,62.6,65.4,80.9,28.9,64
"California","Shasta",74,79,33.7,34.4,63.3,57.7,76.5,34.05,60.5
"California","Sierra",76.7,80,32.5,32.3,61.2,60.3,78.35,32.4,60.75
"California","Siskiyou",74,79.2,32.6,34.8,62.3,63.7,76.6,33.7,63
"California","Solano",77,80.9,32.6,37,62,60.9,78.95,34.8,61.45
"California","Sonoma",78.5,82,29.3,30.5,65.9,67.9,80.25,29.9,66.9
"California","Stanislaus",76,80.5,36.3,42.3,56.9,54.9,78.25,39.3,55.9
"California","Sutter",76.7,79.8,32.1,34.5,57.8,58.2,78.25,33.3,58
"California","Tehama",74.8,79.5,34.6,36.6,60.3,58.2,77.15,35.6,59.25
"California","Trinity",74,79.2,32.3,33.6,62.1,63.2,76.6,32.95,62.65
"California","Tulare",75.6,80.3,38.5,43.7,51.5,53.1,77.95,41.1,52.3
"California","Tuolumne",78.1,81.3,31.8,32.6,61,61.3,79.7,32.2,61.15
"California","Ventura",79.4,82.9,31.7,29.9,61.8,58.8,81.15,30.8,60.3
"California","Yolo",78,82.1,32.5,34,64.1,64.6,80.05,33.25,64.35
"California","Yuba",74.2,78.5,35.3,40.1,55.8,56,76.35,37.7,55.9
"Colorado","Adams",78.2,82,27.6,28.5,64,62.6,80.1,28.05,63.3
"Colorado","Alamosa",74.5,80.4,30.3,33.9,59.6,57.5,77.45,32.1,58.55
"Colorado","Arapahoe",78.4,82.1,25.7,27.2,66.2,62,80.25,26.45,64.1
"Colorado","Archuleta",77,81.3,27.9,26.4,65.8,62.2,79.15,27.15,64
"Colorado","Baca",73.4,79,35.9,37.3,53.3,51.1,76.2,36.6,52.2
"Colorado","Bent",73.4,79,38.2,43.8,51.8,48,76.2,41,49.9
"Colorado","Boulder",78.2,82,27.6,28.5,64,62.6,80.1,28.05,63.3
"Colorado","Broomfield",78.2,82,27.6,28.5,64,62.6,80.1,28.05,63.3
"Colorado","Chaffee",77.7,82.2,24.1,24,64.2,64.1,79.95,24.05,64.15
"Colorado","Cheyenne",74.7,79.5,36.7,37.4,52.6,52.6,77.1,37.05,52.6
"Colorado","Clear Creek",79.6,83.3,26.9,25.8,68.2,65.6,81.45,26.35,66.9
"Colorado","Conejos",77,81.3,30.6,33.6,58.9,54.8,79.15,32.1,56.85
"Colorado","Costilla",74.5,80.4,33.6,39.1,54.9,50.1,77.45,36.35,52.5
"Colorado","Crowley",74.5,79.3,37.7,46.9,44.1,42.7,76.9,42.3,43.4
"Colorado","Custer",75.9,79.9,32.4,31,61.3,61.5,77.9,31.7,61.4
"Colorado","Delta",75.8,81.1,28.1,27.7,65.1,60.7,78.45,27.9,62.9
"Colorado","Denver",75.1,80.5,23.8,28.2,64.9,62.3,77.8,26,63.6
"Colorado","Dolores",76.8,80.3,30.1,30.2,59.6,58.9,78.55,30.15,59.25
"Colorado","Douglas",81.4,84.2,24.3,18.6,70.8,66.7,82.8,21.45,68.75
"Colorado","Eagle",81,83.4,22,20.9,70.3,69.6,82.2,21.45,69.95
"Colorado","El Paso",77.6,81.5,25.9,28.5,62.9,63.7,79.55,27.2,63.3
"Colorado","Elbert",77.7,81.8,28,24,59.2,66.2,79.75,26,62.7
"Colorado","Fremont",75.9,79.9,31.3,29.8,60.5,58,77.9,30.55,59.25
"Colorado","Garfield",77.6,82.9,26.7,24.3,65.7,64.8,80.25,25.5,65.25
"Colorado","Gilpin",76.9,81.6,29.5,29.5,67.1,63.9,79.25,29.5,65.5
"Colorado","Grand",79.6,83.3,25.9,25,71.4,67.1,81.45,25.45,69.25
"Colorado","Gunnison",81.6,84.3,25.6,23.7,64.9,67.3,82.95,24.65,66.1
"Colorado","Hinsdale",77,80.4,29.6,27.4,62.6,64.4,78.7,28.5,63.5
"Colorado","Huerfano",74.5,80.4,35.1,38.7,55.7,51.4,77.45,36.9,53.55
"Colorado","Jackson",79.2,83.3,28.5,29.9,62.2,62.5,81.25,29.2,62.35
"Colorado","Jefferson",78.2,82,27.6,28.5,64,62.6,80.1,28.05,63.3
"Colorado","Kiowa",74.7,79.5,35.3,35.2,57.9,57.3,77.1,35.25,57.6
"Colorado","Kit Carson",76.2,80.8,36.7,38,52.8,51,78.5,37.35,51.9
"Colorado","La Plata",79,83,23.1,22.8,71.9,67.3,81,22.95,69.6
"Colorado","Lake",77.4,81.7,25.4,26.8,60.2,61.2,79.55,26.1,60.7
"Colorado","Larimer",79.3,82.7,24.9,24.3,66.9,67.3,81,24.6,67.1
"Colorado","Las Animas",75.5,78.8,33.9,36.2,59.4,53.8,77.15,35.05,56.6
"Colorado","Lincoln",74.7,79.5,35,36.7,50.2,50.9,77.1,35.85,50.55
"Colorado","Logan",76.7,81.2,32.8,36.3,55.9,58.9,78.95,34.55,57.4
"Colorado","Mesa",76.1,81,29.8,27,69.1,61.3,78.55,28.4,65.2
"Colorado","Mineral",77,80.4,30.6,29.7,63.8,63.5,78.7,30.15,63.65
"Colorado","Moffat",76.3,80.6,33.9,33.1,51.7,59.5,78.45,33.5,55.6
"Colorado","Montezuma",76.8,80.3,28,31.2,58.1,59.7,78.55,29.6,58.9
"Colorado","Montrose",76,81,28.7,28.2,61.4,60.1,78.5,28.45,60.75
"Colorado","Morgan",76.5,79.9,35.1,37.6,56,59.1,78.2,36.35,57.55
"Colorado","Otero",74.7,79.5,36.6,40.4,56.3,51.8,77.1,38.5,54.05
"Colorado","Ouray",77,80.4,26.9,25.4,64.5,65.2,78.7,26.15,64.85
"Colorado","Park",77.4,81.7,26.9,23.9,67.8,63.6,79.55,25.4,65.7
"Colorado","Phillips",76.7,81.2,35.8,37.2,55.8,56.6,78.95,36.5,56.2
"Colorado","Pitkin",81.6,84.3,21.3,18.5,68.9,72.4,82.95,19.9,70.65
"Colorado","Prowers",73.4,79,36.2,39,52.8,50.7,76.2,37.6,51.75
"Colorado","Pueblo",74.5,79.3,33.1,35.6,65,54.9,76.9,34.35,59.95
"Colorado","Rio Blanco",76.3,80.6,26.9,24.2,61.6,68.8,78.45,25.55,65.2
"Colorado","Rio Grande",77,80.4,31.3,33.5,58.1,57.3,78.7,32.4,57.7
"Colorado","Routt",79.2,83.3,23.3,19,72.9,74.7,81.25,21.15,73.8
"Colorado","Saguache",75.9,79.9,33.3,37.6,52.1,53.3,77.9,35.45,52.7
"Colorado","San Juan",76.8,80.3,31.1,32.3,59.5,60.8,78.55,31.7,60.15
"Colorado","San Miguel",76.8,80.3,29.6,28.8,65.8,63.4,78.55,29.2,64.6
"Colorado","Sedgwick",76.7,81.2,35.6,37.3,54,55.6,78.95,36.45,54.8
"Colorado","Summit",80.1,83.4,23.7,22.3,72.7,67.7,81.75,23,70.2
"Colorado","Teller",77.7,82.5,25.1,22.6,65.6,63,80.1,23.85,64.3
"Colorado","Washington",76.5,79.9,34,34.7,55.5,58.1,78.2,34.35,56.8
