"fthrc","ftsanders","ideo5","pid3","race_white","gender","birthyr"
1,54,4,3,0,2,1978
13,26,2,3,0,2,1990
42,100,2,1,1,1,1944
89,68,4,3,0,2,1969
38,87,3,1,0,2,1994
77,99,1,1,0,2,1980
0,26,5,2,1,1,1978
38,39,4,2,1,1,1993
100,43,3,1,0,2,1958
55,87,3,4,0,2,1973
61,71,6,1,1,2,1949
55,64,2,5,1,2,1987
100,11,1,1,0,2,1976
0,100,2,1,1,1,1994
0,31,4,3,1,2,1954
10,90,2,1,1,2,1995
30,15,4,2,1,1,1995
15,94,2,4,0,2,1997
1,71,3,2,1,2,1977
6,19,4,3,1,2,1996
22,71,3,3,1,1,1987
90,57,3,4,0,2,1952
39,21,3,2,1,1,1992
71,73,3,1,0,2,1978
46,82,2,1,1,2,1981
84,39,3,1,1,1,1984
2,8,6,4,1,1,1977
0,60,1,3,1,1,1976
2,3,4,2,1,2,1940
81,100,1,1,1,2,1983
11,98,3,2,1,2,1996
5,1,4,2,1,1,1957
70,100,1,1,1,2,1990
60,99,1,1,1,1,1986
63,97,1,1,0,2,1986
0,60,6,3,1,2,1991
32,57,3,2,1,1,1983
50,57,2,1,1,2,1991
54,53,3,3,1,2,1981
50,74,3,3,1,1,1983
1,31,2,1,0,2,1981
90,99,3,3,0,1,1971
100,75,4,2,0,1,1989
59,49,3,3,0,1,1996
89,41,6,3,1,1,1978
50,100,1,1,1,2,1994
30,95,1,4,0,2,1990
40,70,1,3,1,2,1992
60,81,2,3,1,2,1986
45,58,2,3,1,2,1994
41,63,1,4,0,1,1986
94,84,4,1,0,2,1986
81,71,2,1,1,1,1988
71,100,3,3,1,1,1983
59,100,1,1,0,1,1993
72,64,2,3,1,2,1986
2,0,4,2,1,2,1937
1,87,3,3,1,1,1979
0,100,1,1,1,1,1988
1,100,1,3,1,2,1971
97,0,6,1,0,1,1992
0,0,5,3,1,1,1951
6,0,5,2,1,1,1977
4,4,6,3,1,1,1989
3,25,3,3,1,1,1974
1,0,4,2,1,1,1937
31,100,1,1,1,1,1987
1,998,4,4,1,2,1970
6,58,3,3,1,2,1967
2,15,5,2,1,2,1981
72,56,2,1,1,1,1993
22,53,3,2,1,2,1989
100,48,1,1,1,2,1995
99,41,3,1,1,2,1961
59,17,3,2,0,1,1973
71,20,1,1,0,2,1987
21,33,6,4,1,2,1953
99,28,3,3,0,1,1972
89,61,1,1,0,2,1964
9,29,3,2,1,1,1973
12,19,4,2,1,2,1942
14,32,5,2,1,1,1997
3,23,5,2,1,1,1987
87,48,2,3,0,2,1991
19,41,4,2,1,2,1991
58,33,3,1,1,2,1990
1,90,3,2,1,2,1993
95,61,3,3,1,2,1960
69,93,2,3,1,2,1987
100,998,4,1,0,1,1965
43,49,3,3,0,1,1993
55,90,2,1,1,2,1953
30,100,1,1,1,1,1980
38,93,3,3,1,2,1957
16,42,6,1,1,2,1989
0,60,2,2,1,2,1994
97,9,3,1,1,2,1986
60,50,3,1,1,2,1969
56,90,2,1,1,2,1993
6,56,3,3,1,2,1982
77,10,3,1,0,1,1994
12,79,3,3,1,2,1962
34,12,3,3,1,2,1985
99,54,5,2,0,2,1994
1,998,4,2,1,2,1973
63,47,3,1,0,2,1986
60,50,5,2,0,1,1985
31,0,6,2,1,2,1979
66,100,1,1,1,1,1996
70,100,2,1,1,2,1991
49,50,3,3,1,2,1993
76,50,3,1,1,2,1982
48,30,4,3,0,2,1973
1,43,4,2,1,1,1976
6,7,5,2,1,1,1969
76,50,6,1,0,2,1978
0,62,3,3,1,2,1994
6,3,6,2,1,2,1980
30,96,2,1,0,1,1975
3,100,1,3,1,1,1977
89,60,2,1,1,1,1993
75,85,4,1,1,1,1988
75,66,3,1,1,1,1954
56,50,3,3,1,1,1990
99,97,3,1,1,1,1974
41,46,5,5,0,2,1987
28,52,3,1,1,2,1990
20,79,2,3,0,1,1975
41,19,3,1,1,2,1979
67,96,1,1,1,1,1985
89,100,1,1,0,2,1971
22,92,2,2,1,2,1987
0,100,1,3,1,1,1989
0,40,4,2,1,2,1952
40,55,4,2,1,2,1991
13,55,3,1,0,2,1954
1,8,4,3,1,2,1982
0,50,4,4,1,2,1984
15,93,2,3,1,1,1992
69,100,2,1,1,2,1987
100,96,4,2,1,2,1979
56,16,6,3,1,2,1992
8,50,4,2,1,2,1968
55,81,2,1,0,2,1990
36,100,1,1,0,2,1994
19,40,2,1,1,2,1988
100,5,3,1,0,1,1985
30,91,2,3,1,2,1987
80,33,1,2,1,2,1986
2,35,6,2,1,1,1977
50,52,6,3,1,2,1992
0,9,4,2,0,2,1964
5,60,4,2,1,2,1986
0,0,4,2,0,1,1949
1,21,6,3,1,2,1962
47,54,3,2,1,2,1989
60,100,2,1,1,2,1988
0,50,6,3,1,2,1992
51,57,3,3,1,2,1995
65,55,3,1,0,1,1991
79,95,3,3,0,2,1954
59,49,3,2,1,2,1991
2,40,3,3,1,1,1986
31,57,2,3,1,1,1989
0,40,3,3,1,1,1985
40,98,1,4,1,1,1993
72,88,2,1,1,1,1997
76,39,2,1,0,2,1991
73,12,2,1,0,1,1979
99,85,2,1,0,2,1982
90,43,2,3,0,2,1986
70,40,2,2,0,1,1986
26,100,2,3,1,2,1996
100,76,2,1,0,1,1965
55,50,2,2,1,2,1958
24,96,2,3,1,1,1982
0,998,5,3,1,2,1992
99,52,3,1,1,2,1956
52,46,1,1,1,1,1989
72,57,2,1,0,2,1996
16,4,4,2,0,1,1974
100,51,3,1,0,1,1983
21,5,3,2,1,1,1988
1,3,3,3,0,2,1987
66,51,2,1,0,1,1996
64,49,4,3,1,2,1981
3,50,4,2,1,2,1965
97,97,2,1,0,1,1971
99,64,2,1,0,1,1960
6,3,3,4,1,1,1963
7,98,3,3,0,1,1989
55,96,2,1,1,1,1985
100,90,2,1,1,1,1991
36,92,1,1,1,1,1970
59,30,2,3,1,1,1952
3,51,5,2,1,2,1987
11,90,4,3,1,2,1962
50,50,6,3,0,2,1980
0,87,3,4,1,2,1965
32,51,6,1,1,1,1978
12,55,2,3,1,2,1951
0,0,5,3,1,1,1993
90,89,2,1,1,2,1976
94,64,2,3,1,2,1924
61,85,1,1,1,2,1953
58,68,1,1,0,1,1994
0,0,4,2,1,1,1969
76,89,1,3,1,1,1978
100,2,2,1,0,2,1990
64,72,1,2,1,1,1994
55,52,3,1,1,2,1992
1,7,4,2,1,2,1948
61,97,2,3,1,1,1991
78,64,3,3,0,2,1992
22,32,5,3,0,2,1996
18,95,3,4,1,1,1982
5,60,4,3,1,2,1983
12,24,3,3,1,2,1976
1,63,5,2,1,1,1984
0,0,4,2,1,2,1960
94,45,2,1,1,1,1953
24,61,6,1,1,2,1955
11,5,3,4,1,2,1977
84,29,2,1,1,1,1982
35,37,3,4,1,2,1981
6,82,3,2,1,1,1981
65,5,6,1,0,1,1978
52,5,1,2,0,2,1963
91,87,1,1,0,1,1935
38,99,2,3,1,2,1989
49,48,3,1,0,2,1965
54,100,2,3,1,1,1992
3,6,4,2,1,2,1961
94,98,2,1,1,2,1986
96,96,1,2,1,2,1990
84,65,3,3,0,1,1973
58,74,2,1,1,2,1990
16,35,3,2,1,2,1982
51,53,6,3,1,1,1989
27,53,3,2,1,2,1975
51,998,3,2,0,2,1962
2,1,4,2,0,1,1955
57,100,1,1,1,2,1989
80,96,2,1,1,2,1997
37,88,6,3,1,2,1989
22,81,4,5,1,2,1985
79,61,3,3,1,1,1963
100,0,2,2,0,2,1961
89,79,2,1,1,2,1976
36,74,3,3,1,1,1997
70,59,3,1,1,1,1966
72,69,4,2,1,2,1985
68,59,3,3,1,2,1973
20,94,1,1,0,2,1967
91,96,3,1,0,2,1975
0,50,4,2,1,2,1955
100,15,2,1,0,2,1970
85,59,3,3,1,1,1955
76,10,2,2,0,2,1957
0,0,3,3,1,2,1951
82,7,2,1,1,2,1980
52,43,3,1,1,2,1995
0,0,4,2,1,1,1954
31,89,2,3,1,1,1990
83,53,6,3,1,1,1973
3,73,3,3,0,1,1979
60,86,3,4,1,2,1957
5,54,3,3,1,1,1970
100,100,1,3,1,1,1981
59,97,1,1,1,1,1952
27,40,3,3,0,2,1992
56,100,3,1,1,2,1953
71,45,4,1,1,1,1988
49,68,4,3,1,1,1985
94,34,4,1,0,2,1977
92,79,6,2,1,2,1958
26,95,1,1,1,1,1994
70,40,3,3,1,1,1977
10,40,3,1,0,2,1978
